nummer	path	filter	prompt	titel	autor	projektuebersicht
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/08_Szenen_Eickelpasch_Lamella.jpg	Szenen	place a big Server into the Spaceship that we created in this conversation; give me more variations of this	Lamella_Spaceships-Control-Center01	Lisa Eickelpasch	eickelpasch									
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/11_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me the telephone central of this spaceship with lamella structure	Lamella_Spaceships-Control-Center02	Lisa Eickelpasch	eickelpasch									
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/19_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me the center of this spaceship	Lamella_Spaceships-Control-Center03	Lisa Eickelpasch	eickelpasch		
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/00_Szenen_Eickelpasch_Lamella.jpg	Szenen	give me the left spaceship in front of a black backdrop	Lamella_Spaceship01	Lisa Eickelpasch	eickelpasch
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/02_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me an image of the walls of the spaceship becoming transparent, revealing a labyrinthine network of corridors and compartments. The interior, much like the exterior, has an organic, skeletal quality to it. The hallways curve and fork like the dendrites of a neuron, leading to various functional areas within the ship.	Lamella_Spaceship02	Lisa Eickelpasch	eickelpasch
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/06_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me a cutaway view of this spaceship; make it look more organic and give it more of that boney/lamella structure	Lamella_Spaceship03	Lisa Eickelpasch	eickelpasch
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/09_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me a cutaway view of this spaceship; make it look more organic and give it more of that boney/lamella structure	Lamella_Spaceship04	Lisa Eickelpasch	eickelpasch
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/15_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me this image in the style of the created spaceship; Image to Image	Lamella_Lounge-Area01	Lisa Eickelpasch	eickelpasch												
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/26_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me the inside of the created spaceship	Lamella_Lounge-Area02	Lisa Eickelpasch	eickelpasch	
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/13_Szenen_Eickelpasch_Lamella.jpg	Szenen	reimagine this scene in the same style as other images in this conversation; Image to Image	Lamella_Conversation-Area	Lisa Eickelpasch	eickelpasch
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/22_Szenen_Eickelpasch_Lamella.jpg	Szenen	let me look through a corridor of the spaceship	Lamella_Corridor01	Lisa Eickelpasch	eickelpasch
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/23_Szenen_Eickelpasch_Lamella.jpg	Szenen	let me look through a corridor of the spaceship	Lamella_Corridor02	Lisa Eickelpasch	eickelpasch
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/24_Szenen_Eickelpasch_Lamella.jpg	Szenen	let me look through a corridor of the spaceship	Lamella_Corridor03	Lisa Eickelpasch	eickelpasch
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/25_Szenen_Eickelpasch_Lamella.jpg	Szenen	let me look through a corridor of the spaceship	Lamella_Corridor04	Lisa Eickelpasch	eickelpasch
15	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/18_Szenen_Eickelpasch_Lamella.jpg	Szenen	now generate a smaller vessel in which astronaut can explore nearby planets	Lamella_Excursion-Vessel	Lisa Eickelpasch	eickelpasch	
16	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/07_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me the engine rooms of the spaceship	Lamella_Engine-Compartment01	Lisa Eickelpasch	eickelpasch						
17	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/12_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me the engine rooms of the spaceship	Lamella_Engine-Compartment02	Lisa Eickelpsach	eickelpasch						
18	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/28_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me the engine compartment of this spaceship	Lamella_Engine-Compartment03	Lisa Eickelpasch	eickelpasch						
19	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/29_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me the engine compartment of this spaceship	Lamella_Engine-Compartment04	Lisa Eickelpasch	eickelpasch
20	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/21_Objekte_Eickelpasch_Lamella.jpg	Objekte	show me a food tray with lamella structure	Lamella_Food-Tray	Lisa Eickelpasch	eickelpasch
21	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/20_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me the center of this spaceship	Lamella_Spaceships-Center01	Lisa Eickelpasch	eickelpasch						
22	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/27_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me the inside of the created spaceship	Lamella_Spaceships-Center02	Lisa Eickelpasch	eickelpasch
23	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/03_Szenen_Eickelpasch_Lamella.jpg	Szenen	place a big Server into the Spaceship that we created in this conversation	Lamella_Spaceships-Server01	Lisa Eickelpasch	eickelpasch			
24	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/04_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me an image of the walls of the spaceship becoming transparent, revealing a labyrinthine network of corridors and compartments. The interior, much like the exterior, has an organic, skeletal quality to it. The hallways curve and fork like the dendrites of a neuron, leading to various functional areas within the ship.	Lamella_Spaceships-Server02	Lisa Eickelpasch	eickelpasch						
25	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/05_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me an image of the walls of the spaceship becoming transparent, revealing a labyrinthine network of corridors and compartments. The interior, much like the exterior, has an organic, skeletal quality to it. The hallways curve and fork like the dendrites of a neuron, leading to various functional areas within the ship.	Lamella_Spaceships-Server03	Lisa Eickelpasch	eickelpasch						
26	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/10_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me more versions of a server system like this in the spaceship	Lamella_Spaceships-Server04	Lisa Eickelpasch	eickelpasch
27	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/16_Szenen_Eickelpasch_Lamella.jpg	Szenen  show me sleeping capsules inside the created spaceship	Lamella_Community-Space	Lisa Eickelpasch	eickelpasch
28	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/17_Objekte_Eickelpasch_Lamella.jpg	Objekte	a bed that is made of that boney/ lamella structure inside a capsule	Lamella-Sleeping-Capsule	Lisa Eickelpasch	eickelpasch
