nummer	path	filter	prompt	titel	autor	projektuebersicht
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_000.jpg	Szenen	a dark museum wall and a completely black paintings	Schwarze Gallerie	Hannah Freynhagen	freynhagen						
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_004.png	Szenen	an image of the earth on the floor of a modern museum	Die Erde	Hannah Freynhagen	freynhagen						
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_006.jpg	Szenen	a child watching an information video in a modern museum	Screen-Landschaft	Hannah Freynhagen	freynhagen						
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_009.jpg	Szenen	interactive museum showing the desert	Wüste im Kasten	Hannah Freynhagen	freynhagen						
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_011.jpg	Szenen	a museum showing fake apes in a dessert scene behind glass a child is pointing at them	Gorilla-Ausstellung	Hannah Freynhagen	freynhagen						
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_013_00.jpg	Szenen	fake apes in a modern museum standing opposite of a big black screen with information	Gorilla Screens	Hannah Freynhagen	freynhagen						
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_013_01.jpg	Szenen	apes as greek statues in a museum the walls are orange in the middle of a room is a huge stone block	Gorilla Statuen	Hannah Freynhagen	freynhagen					
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_014.jpg	Szenen	apes as greek statues in a museum the walls are orange in the middle of a room is a huge stone block	Gorilla Statuen	Hannah Freynhagen	freynhagen					
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_017.jpg	Szenen	a child watching an information video in a modern museum	Natur Screens	Hannah Freynhagen	freynhagen						
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/00_Objekt_Freynhagen_Hannah_018.jpg	Objekt	a close up of an arm bone in a museum	Knochen	Hannah Freynhagen	freynhagen						
