name	path	filter	prompt	titel	autor	projektuebersicht
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_Bone1_kom.jpg	Adaption	bone, Organic forms, Curved lines, honeycomb, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  out of Space, dynamic lighting, ultra high definition, reflections, sharp focus, intense shadows, detailed and intricate environment, intricate	Knochen	Alina Giessmann	giessmann
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_landscape2_kom.jpg	Adaption	Monolith from the movie Space odyssey, Organic forms, Curved lines, Antoni Gaudi, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  metallic shine look,  out of Space, hexagonal structure, honeycomb	Landscape 2	Alina Giessmann	giessmann
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_landscape3_kom.jpg	Adaption	monkey, Organic forms, Curved lines, Antoni Gaudi, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  metallic shine look,  out of Space, hexagonal structure, honeycomb	Landscape 3	Alina Giessmann	giessmann
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_Monolith_kom.jpg	Adaption	landscape, monolith, Organic forms, Curved lines, Antoni Gaudi, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  out of Space, hexagonal structure, honeycomb	Monolith	Alina Giessmann	giessmann
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_Landscape_Monkey.jpg	Adaption	Monolith from Space Odyssey, Element of the Bionik, Organic forms, Curved lines, Antoni Gaudi, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  metallic shine look,  out of Space, hexagonal structure, honeycomb	Monkey	Alina Giessmann	giessmann
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_Orion_kom.jpg	Adaption	room, Spaceship, Organic forms, Curved lines, Antoni Gaudi, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  metallic shine look,  out of Space, hexagonal structure, honeycomb Orion 3	Aufenthaltsbereich	Alina Giessmann	giessmann
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_Monkey2.jpg		Adaption	landscape, Organic forms, Curved lines, Antoni Gaudi, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  out of Space, hexagonal structure, honeycomb	Monkey 2	Alina Giessmann	giessmann
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_Landscape_Monkey3.jpg	Adaption	monolith from the movie Space odyssey, Organic forms, Curved lines, Antoni Gaudi, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  metallic shine look,  out of Space, hexagonal structure, honeycomb	Monkey 3	Alina Giessmann   giessmann
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_Aufenthaltsraum2.jpg	Adaption	screens, monitors, tvs, keyboards, buttons, honeycomb structure, Biomimicry, Organic forms, Curved lines, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, out of Space, dynamic lighting, ultra high definition, reflections, sharp focus, intense shadows, detailed and intricate environment, intricate	Aufenthaltsraum	Alina Giessmann	giessmann
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_HAL_9000.jpg	Adaption	HAL 9000 from the movie Space Odyssey, in a Spaceship, honeycomb structure, Biomimicry, Organic forms, Natural forms, Whiplash curves, Aesthetic movement, organic rooms,  out of Space, dynamic lighting, ultra high definition, reflections, sharp focus, intense shadows, detailed and intricate environment, intricate	HAL 9000	Alina Giessmann	giessmann
