nummer	path	filter	prompt	titel	autor	projektuebersicht
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Kiesewetter_Jan_Marius/03_Adaption_Kiesewetter_Jan_118_01.jpg	Adaption	Prompt	Adaption 2001	Jan-Marius Kiesewetter	kiesewetter
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Kiesewetter_Jan_Marius/03_Adaption_Kiesewetter_Jan_118_02.jpg	Adaption	Prompt	Adaption 2001	Jan-Marius Kiesewetter	kiesewetter
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Kiesewetter_Jan_Marius/03_Adaption_Kiesewetter_Jan_118_03.jpg	Adaption	Prompt	Adaption 2001	Jan-Marius Kiesewetter	kiesewetter
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Kiesewetter_Jan_Marius/03_Adaption_Kiesewetter_Jan_118_04.jpg	Adaption	Prompt	Adaption 2001	Jan-Marius Kiesewetter	kiesewetter
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Kiesewetter_Jan_Marius/03_Adaption_Kiesewetter_Jan_118_05.jpg	Adaption	Prompt	Adaption 2001	Jan-Marius Kiesewetter	kiesewetter
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Kiesewetter_Jan_Marius/03_Adaption_Kiesewetter_Jan_118_06.jpg	Adaption	Prompt	Adaption 2001	Jan-Marius Kiesewetter	kiesewetter
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Kiesewetter_Jan_Marius/03_Adaption_Kiesewetter_Jan_118_07.jpg	Adaption	Prompt	Adaption 2001	Jan-Marius Kiesewetter	kiesewetter
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Kiesewetter_Jan_Marius/03_Adaption_Kiesewetter_Jan_118_08.jpg	Adaption	Prompt	Adaption 2001	Jan-Marius Kiesewetter	kiesewetter
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Kiesewetter_Jan_Marius/03_Adaption_Kiesewetter_Jan_118_09.jpg	Adaption	Prompt	Adaption 2001	Jan-Marius Kiesewetter	kiesewetter
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Kiesewetter_Jan_Marius/03_Adaption_Kiesewetter_Jan_118_10.jpg	Adaption	Prompt	Adaption 2001	Jan-Marius Kiesewetter	kiesewetter
