name	path	filter	prompt	titel	autor	projektuebersicht
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_005_01.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for nature, trees, landscapes. Embrace bright, dynamic colors for a playful atmosphere. Create a visual and tactile experience that transports the audience to a world of boundless imagination. For characters, maintain a minimalistic look, keeping facial features simple and expressive.	Landschaft 01	Zina Nasr	nasr
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_005_02.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for nature, trees, landscapes. Embrace bright, dynamic colors for a playful atmosphere. Create a visual and tactile experience that transports the audience to a world of boundless imagination. For characters, maintain a minimalistic look, keeping facial features simple and expressive.	Landschaft 02	Zina Nasr	nasr
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_006.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for nature, trees, landscapes. Embrace bright, dynamic colors for a playful atmosphere. Create a visual and tactile experience that transports the audience to a world of boundless imagination. For characters, maintain a minimalistic look, keeping facial features simple and expressive.	Landschaft 03	Zina Nasr	nasr
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_014.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for nature, trees, landscapes. Embrace bright, dynamic colors for a playful atmosphere.Create a visual and tactile experience that transports the audience to a world of boundless imagination. For characters, maintain a minimalistic look, keeping facial features simple and expressive.	Landschaft 04	Zina Nasr	nasr
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_016_01.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for nature, trees, landscapes. Embrace bright, dynamic colors for a playful atmosphere. Create a visual and tactile experience that transports the audience to a world of boundless imagination. For characters, maintain a minimalistic look, keeping facial features simple and expressive.	Lanschaft 05	Zina Nasr	nasr
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_016_02.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for nature, trees, landscapes. Embrace bright, dynamic colors for a playful atmosphere. Create a visual and tactile experience that transports the audience to a world of boundless imagination. For characters, maintain a minimalistic look, keeping facial features simple and expressive.	Lanschaft 06	Zina Nasr	nasr
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_018.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for nature, trees, landscapes. Embrace bright, dynamic colors for a playful atmosphere. Create a visual and tactile experience that transports the audience to a world of boundless imagination. For characters, maintain a minimalistic look, keeping facial features simple and expressive.	Landschaft 07	Zina Nasr	nasr
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_021.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for the surface of the spaceship, thick layers of play doh on top of each other, cracks in layers of play doh, spaceship, play doh texture, minimalistic, space, universe, stars background, lines	Raumschiff 01	Zina Nasr	nasr
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_038_01.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for the surface of the spaceship, thick layers of play doh on top of each other, cracks in layers of play doh, spaceship, play doh texture, minimalistic, space, universe, stars background, lines	Raumschiff 02	Zina Nasr	nasr
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_038_02.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for the surface of the spaceship, thick layers of play doh on top of each other, cracks in layers of play doh, spaceship, play doh texture, minimalistic, space, universe, stars background, lines	Raumschiff 03	Zina Nasr	nasr
