name	path	filter	prompt	titel	autor	projektuebersicht
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/01_Charaktere_Reuters_Moritz_026.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/02_Charaktere_Reuters_Moritz_031.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/03_Charaktere_Reuters_Moritz_035.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/04_Charaktere_Reuters_Moritz_035.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/05_Charaktere_Reuters_Moritz_039.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/06_Charaktere_Reuters_Moritz_049.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/07_Charaktere_Reuters_Moritz_049.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/08_Charaktere_Reuters_Moritz_049_1.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/09_Charaktere_Reuters_Moritz_049.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/10_Charaktere_Reuters_Moritz_062.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
