name	path	filter	prompt	titel	autor	projektuebersicht
18	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_013_00.jpg	Objekte	a levitating monolith, translucent plastic casing, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Monolithic Structure	Lukas Rössler, Benjamin Tamm	roessler																									
19	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_013_01.jpg	Objekte	a levitating monolith, translucent plastic casing, completely filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Monolithic Structure	Lukas Rössler, Benjamin Tamm	roessler																									
20	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_013_02.jpg	Objekte	an extremely large, monumental monolith, translucent plastic casing, completely filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Monolithic Structure	Lukas Rössler, Benjamin Tamm	roessler																									
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_016_00.jpg	Objekte	red, weapon, cyborg, sci-fi, translucent plastic casing, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, A24, Arri Alexa, Helios 44-2	bone	Lukas Rössler, Benjamin Tamm	roessler							
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_016_01.jpg	Objekte	red, weapon, cyborg, sci-fi, translucent plastic casing, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, A24, Arri Alexa, Helios 44-2	bone 2	Lukas Rössler, Benjamin Tamm	roessler							
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_016_03.jpg	Objekte	red, weapon, cyborg, sci-fi, translucent plastic casing, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, A24, Arri Alexa, Helios 44-2	bone 3	Lukas Rössler, Benjamin Tamm	roessler							
16	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/01_Szene_Roessler_Tamm_020.jpg	Szenen	A huge planet, in translucent plastic bubble, plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Planet	Lukas Rössler, Benjamin Tamm	roessler							
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_022_00.jpg	Objekte	human-cyborg gravity shoe, translucent plastic casing, technology resembling muscle anatomy, fiber, blood-vessels, open body, cables, fibre, technology, human skin, musculus, A24, Arri Alexa, Helios 44-2	Gravity Shoe	Lukas Rössler, Benjamin Tamm	roessler
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_022_01.jpg	Objekte	human-cyborg gravity shoe, translucent plastic casing, technology resembling muscle anatomy, fiber, blood-vessels, open body, cables, fibre, technology, human skin, musculus, A24, Arri Alexa, Helios 44-2,	Gravity Shoe	Lukas Rössler, Benjamin Tamm	roessler
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_023.jpg	Objekte	A monumentay huge spaceship, floating in space, translucent plastic casing and cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Spaceship	Lukas Rössler, Benjamin Tamm	roessler
