name	path	filter	prompt	titel	autor	projektuebersicht
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_025.jpg	Adaptionen	close up, minimalistic spaceship, interior, science fiction, set design, inspired by stanley kubricks space odyssey: 2001	Cockpit 1	Katharina Saathoff	saathoff						
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_027.jpg	Adaptionen	close up, minimalistic spaceship, interior, science fiction, set design, inspired by stanley kubricks space odyssey: 2001	Großer Aufenthaltsraum	Katharina Saathoff	saathoff						
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_034.jpg	Adaptionen	The outdoor environments in this science fiction world would echo Kubrick's affinity for vast, barren, and futuristic landscapes	Außenaufnahme mit einem Planet  Katharina Saathoff  saathoff						
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_037.jpg	Adaptionen	vast, barren, and futuristic landscapes, surreal landscapes that feel both inviting and ominous, deep, dark, and vivid colors	Umgebung 1	Katharina Saathoff	saathoff						
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_038.jpg	Adaptionen	spaceship, science fiction, set design, inspired by stanley Kubricks space odyssey 2001, surreal vivid colors, ominous, vast, barren, inviting landscape	Raumschiff 1	Katharina Saathoff	saathoff						
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_039.jpg	Adaptionen	vast, barren and surreal landscapes, inviting and ominous, deep dark and vivid colors, stanley kuebricks space odyssey 2001, science fiction, set design	Astronauten auf Entdeckungsrunde  Katharina Saathoff	saathoff						
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_044.jpg	Adaptionen	close up, astronaut, plants in landscape, science fiction, set design, inspired by stanley kubricks space odyssey: 2001	Nahaufnahme Astronaut  Katharina Saathoff	saathoff						
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_045.jpg	Adaptionen	interior spaceship, complementary contrast, round flying plants, the outdoor environments in this science fiction world would echo kubrick's affinity for vast, barren, and futuristic landscapes	Aussicht aus dem Raumschiff	Katharina Saathoff	saathoff						
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_046.jpg	Adaptionen	The outdoor environments in this science fiction world would echo Kubrick's affinity for vast, barren, and futuristic landscapes	Umgebung 2	Katharina Saathoff	saathoff						
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_050.jpg	Adaptionen	close up, minimalistic spaceship, interior, science fiction, set design, inspired by stanley kubricks space odyssey: 2001	Cockpit 2	Katharina Saathoff	saathoff						
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_051.jpg	Adaptionen	closeup, plants in landscape, science fiction, set design, inspired by stanley kubricks space odyssey: 2001, vast barren landscape, surreal vivid colors	Detailansicht Umgebung	Katharina Saathoff	saathoff						
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_052.jpg	Adaptionen	vast, barren, and futuristic landscapes, surreal landscapes that feel both inviting and ominous, deep, dark, and vivid colors	Entdeckungstour	Katharina Saathoff	saathoff						
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_053.jpg	Adaptionen	close up, people, minimalistic spaceship interior, science fiction, set design, inspired by stanley Kubricks space odyssey 2001, surreal vivid colors, ominous, vast, barren, inviting	Detailansicht Entdeckungstour	Katharina Saathoff	saathoff						
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_054.jpg	Adaptionen	The outdoor environments in this science fiction world would echo Kubrick's affinity for vast, barren, and futuristic landscapes	Umgebung 3	Katharina Saathoff	saathoff						
15	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_073.jpg	Adaptionen	minimalistic spaceship, science fiction, set design, inspired by stanley kubricks space odyssey 2001, surreal vivid colors, ominous, vast, barren, inviting landscape	Forschungsstation	Katharina Saathoff	saathoff						
16	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_075.jpg	Adaptionen	Outdoor environments in a science fiction world that combine Kubrick's vast, barren landscapes with Burton's oversized and fantastical flora and fauna, creating eerie and surreal landscapes, bold color grading	Umgebung bei Nacht	Katharina Saathoff	saathoff						
17	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_076.jpg	Adaptionen	futuristic spaceship, science fiction, inspired by stanley kubricks space odyssey 2001, surreal vivid colors, ominous vast barren inviting landscape	Raumschiff 2	Katharina Saathoff	saathoff						
