name	path	filter	prompt	titel	autor	projektuebersicht
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_124_01.jpg	Szenen	Kaleidoscopic.	Scene from 2001 a space odyssey.	_Sinnestunnel01	Jana Schlotthauer	schlotthauer
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_124_02.jpg	Szenen	Kaleidoscopic.	Scene from 2001 a space odyssey. human skin under the microscope.	_Sinneltunnel02	Jana Schlotthauer	schlotthauer
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_124_03.jpg	Szenen	a surreal and dreamlike scene. ethereal and eerie. neon light tunnel.	_Sinnestunnel 03	Jana Schlotthauer	schlotthauer
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_124_04.jpg	Szenen	the concept of space, kaleidoscopic, eerie, distorted, weird, unusual.	_Sinneserscheinung01	Jana Schlotthauer	schlotthauer
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_125_01.jpg	Szenen	the concept of space, kaleidoscopic, eerie, distorted, weird, unusual	_Sinneserscheinung02	Jana Schlotthauer	schlotthauer
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_125_02.jpg	Szenen	the concept of space, kaleidoscopic, eerie, distorted, weird, unusual, pixelated, blurry.	_Sinneserscheinung03	Jana Schlotthauer	schlotthauer
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_125_03.jpg	Szenen	kaleidoscopic 2001: a space odyssey.	_Sinneserscheinung04	Jana Schlotthauer	schlotthauer
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_125_04.jpg	Szenen	kaleidoscopic bedroom.	_Sinneserscheinung05	Jana Schlotthauer	schlotthauer
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_125_05.jpg	Szenen  kaleidoscopic, microscopic, macro, ethereal, weird aura, energy.	_Sinnestunnel04	Jana Schlotthauer	schlotthauer
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_126_01.jpg	Szenen	2001: a space odyssey, neon ambiance, abstract black oil, gear mecha, detailed acrylic, grunge, intricate complexity, rendered in unreal engine, photorealistic. kaleidoscopic, microscopic, macro, insane detail, kaleidoscope, otherworldly.	_Sinnestunnel05	Jana Schlotthauer	schlotthauer
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_126_02.jpg	Szenen	ominous microscopy, kaleidoscopic, macro, neon, highly detailed, explosion, chaotic, motion.	_Sinnestunnel06	Jana Schlotthauer	schlotthauer
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_126_03.jpg	Szenen	kaleidoscopic, going extremely fast, macro, chaotic, weird, higher power, microscopy, organic shapes, floral elements, nerves, neon color, lights, golden ratio, surrealistic, smoke, fast motion, motion blur on the side.	_Sinnestunnel07	Jana Schlotthauer	schlotthauer
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_126_04.jpg	Szenen	detailed kaleidoscopic tunnel of galaxies, geometry, glass, gloss, wet, human nerves, microscopy, aura, rapid, pink and yellow, neon, bright, blinding, incredible, chaotic, ominous.	_Sinnestunnel08	Jana Schlotthauer	schlotthauer
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_126_05.jpg	Szenen	kaleidoscopic human nerves, macro, neon, highly detailed, explosion, chaotic, motion, Platos Atlantis, pink, fast, dark atmosphere, intricate, astral.	_Sinnestunnel09	Jana Schlotthauer	schlotthauer
15	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_126_06.jpg	Szenen	2001 space odyssey, kaleidoscopic style, macro, microorganism, microscopic, ethereal, weird, stunning, analog photography, neon light beams, motion blur, distorted Vision, aura, Alexander McQueen on acid.	_Sinnestunnel10	Jana Schlotthauer	schlotthauer
16	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_126_07.jpg	Szenen	kaleidoscopic tunnel of worlds, macro, neon, highly detailed, explosion, chaotic, motion, Platos Atlantis, pink, fast, dark atmosphere, intricate, astral.	_Sinnestunnel11	Jana Schlotthauer	schlotthauer
17	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_126_08.jpg	Szenen	hand coming towards the screen. creepy, kaleidoscopic, mirrorball light source. golden hour, neon lights. extremely fast motion, human nerves.	_Sinneserscheinung06	Jana Schlotthauer	schlotthauer
18	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_128_01.jpg	Szenen	an eerie prehistoric landscape. pink. high contrast. viewed from a kaleidoscope.	_Sinneserscheinung07	Jana Schlotthauer	schlotthauer
19	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_128_02.jpg	Szenen	an eerie prehistoric landscape. pink. high contrast. deformed. on acid.	_Sinneslandschaft01	Jana Schlotthauer	schlotthauer
20	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_128_03.jpg	Szenen	deformed, distorted, disfigured, misshapen, warped, time warp, impaired something inspired by 2001: a space odyssey. astronauts shoes.	_Sinneslandschaft02	Jana Schlotthauer	schlotthauer
21	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_128_04.jpg	Szenen	oil spill small objects sticking to each other in a weird glue, pixelated and disfigured inspired by 2001: a space odyssey. disfigured, misshapen, time warp, hot pink.	_Sinneslandschaft03	Jana Schlotthauer	schlotthauer
22	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_128_05.jpg	Szenen	concept of a prehistoric landscape, weird, foggy, kaleidoscopic.	_Sinneslandschaft04	Jana Schlotthauer	schlotthauer
23	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_128_06.jpg	Szenen	The room in the last scene of 2001: a space odyssey, kaleidoscopic, organic patterns.	_Sinneslandschaft05	Jana Schlotthauer	schlotthauer
24	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_128_07.jpg	Szenen	concept of a prehistoric landscape, weird, foggy, kaleidoscopic.	_Sinneslandschaft06	Jana Schlotthauer	schlotthauer
25	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_128_08.jpg	Szenen	a strange scene. Heavily inspired by the movie "2001: a space odyssey", prehistoric look, neon yellow, strings of light, eyes, acid trip, microscopic, strange, toxic colors. heaven. concept of a different planet. microscopic. kaleidoscopic.	_Sinnestunnel12	Jana Schlotthauer	schlotthauer
26	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_128_09.jpg	Szenen	A prehistoric landscape with no form of life, viewed through a kaleidoscope, somewhere in the universe, eerie feeling.	_Sinnestunnel13	Jana Schlotthauer	schlotthauer
27	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_128_10.jpg	Szenen	light tunnel, weird, unidentifiable patterns, deformed, disfigured, light going into all directions, sucking you in, misshapen, time warp, warped, explosion to other dimensions, fast motion, motion blur, angelic, ethereal. 2001: a space odyssey seat.	_Sinnestunnel14	Jana Schlotthauer	schlotthauer
28	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_131_01.jpg	Szenen	This captivating image depicts a dreamlike and hazy scene from the movie "2001: A Space Odyssey." The objects within the image are distorted and unrecognizable, bathed in lights. The atmosphere is ethereal, creating a sense of surrealism. kaleidoscopic.	_Sinnestunnel15	Jana Schlotthauer	schlotthauer
29	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_131_02.jpg	Szenen	the interior from the spaceship of the movie "2001: A Space Odyssey." The objects within the image are distorted and unrecognizable, bathed in lights. The atmosphere is ethereal, creating a sense of surrealism. kaleidoscopic, dreamlike and hazy.	_Sinnestunnel16	Jana Schlotthauer	schlotthauer
30	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_132_01.jpg	Szenen	dreamlike, distorted, deformed shapes, pixelated.	_Sinneserscheinung08	Jana Schlotthauer	schlotthauer
31	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Schlotthauer_Jana/01_Szenen_Schlotthauer_Jana_132_02.jpg	Szenen	a bed inspired by the movie 2001: a space odyssey. eerie, distorted, deformed, weird, strange, ugly.	_Sinneserscheinung09	Jana Schlotthauer	schlotthauer
